state_fips,state_usps,week_end_date,vacc_pct_full_18p,vacc_pct_any_18p,booster_pct_18p,cases_per_100k,deaths_per_100k,hesitancy_pct,population
02,AK,2022-09-07,74.0,83.2,50.2,119.91536349088767,0.0,0.21738620689655172,733017
02,AK,2022-09-14,74.1,83.2,50.2,129.60135985932115,3.4105621015610823,0.21738620689655172,733017
02,AK,2022-09-21,74.1,83.3,50.3,87.85607973621349,0.0,0.21738620689655172,733017
02,AK,2022-09-28,74.2,83.4,50.4,75.03236623434381,0.0,0.21738620689655172,733017
02,AK,2022-10-05,75.0,83.4,50.6,86.90112234777638,3.683407069685969,0.21738620689655172,733017
02,AK,2022-10-12,75.1,83.5,50.7,69.71188935590853,0.0,0.21738620689655172,733017
02,AK,2022-10-19,75.1,83.6,50.9,47.33860196966783,0.0,0.21738620689655172,733017
02,AK,2022-10-26,75.2,83.7,51.0,51.704121459666005,2.7284496812488657,0.21738620689655172,733017
02,AK,2022-11-02,75.3,83.8,51.1,48.975671778417144,0.0,0.21738620689655172,733017
02,AK,2022-11-09,75.4,83.9,51.3,27.148074328426215,0.0,0.21738620689655172,733017
02,AK,2022-11-16,75.4,84.0,51.4,53.204768784352886,3.137717133436196,0.21738620689655172,733017
02,AK,2022-11-23,75.4,84.1,51.5,58.661668146850616,0.0,0.21738620689655172,733017
02,AK,2022-11-30,75.5,84.1,51.5,54.29614865685243,0.0,0.21738620689655172,733017
02,AK,2022-12-07,75.5,84.2,51.6,67.66555209497187,0.0,0.21738620689655172,733017
02,AK,2022-12-14,75.6,84.2,51.7,48.29355935810493,0.0,0.21738620689655172,733017
02,AK,2022-12-21,75.6,84.3,51.8,51.84054394372845,2.592027197186423,0.21738620689655172,733017
02,AK,2022-12-28,75.6,84.3,51.8,45.292264708731174,0.0,0.21738620689655172,733017
02,AK,2023-01-04,75.6,84.4,51.8,50.61274158716647,0.0,0.21738620689655172,733017
02,AK,2023-01-11,75.7,84.4,51.9,64.11856750934835,0.0,0.21738620689655172,733017
02,AK,2023-01-18,75.7,84.4,52.0,88.5381921565257,0.0,0.21738620689655172,733017
02,AK,2023-01-25,75.7,84.5,52.0,89.22030457683792,2.4556047131239795,0.21738620689655172,733017
02,AK,2023-02-01,75.7,84.5,52.1,108.18302986151754,0.0,0.21738620689655172,733017
02,AK,2023-02-08,75.7,84.5,52.1,94.40435897121075,0.0,0.21738620689655172,733017
02,AK,2023-02-15,75.7,84.5,52.1,107.22807247308043,0.0,0.21738620689655172,733017
02,AK,2023-02-22,75.8,84.6,52.2,105.72742514839356,1.7734922928117627,0.21738620689655172,733017
02,AK,2023-03-01,75.8,84.6,52.2,61.1172728599746,0.0,0.21738620689655172,733017
02,AK,2023-03-08,75.8,84.6,52.2,79.397885724342,0.0,0.21738620689655172,733017
02,AK,2023-03-15,75.8,84.6,52.2,61.1172728599746,0.0,0.21738620689655172,733017
02,AK,2023-03-22,75.8,84.6,52.3,67.66555209497187,0.0,0.21738620689655172,733017
02,AK,2023-03-29,75.8,84.6,52.3,70.12115680809586,2.592027197186423,0.21738620689655172,733017
02,AK,2023-04-05,75.8,84.6,52.3,54.70541610903976,0.0,0.21738620689655172,733017
02,AK,2023-04-12,75.8,84.7,52.3,48.8392492943547,0.0,0.21738620689655172,733017
02,AK,2023-04-19,75.9,84.7,52.4,49.24851674654203,0.0,0.21738620689655172,733017
02,AK,2023-04-26,75.9,84.7,52.4,38.19829553748413,0.0,0.21738620689655172,733017
02,AK,2023-05-03,75.9,84.7,52.4,25.64742700373934,0.0,0.21738620689655172,733017
02,AK,2023-05-10,75.9,84.7,52.4,27.148074328426215,0.0,0.21738620689655172,733017
01,AL,2020-01-22,,,,0.0,0.0,0.17350746268656717,5033094
01,AL,2020-01-29,,,,0.0,0.0,0.17350746268656717,5033094
01,AL,2020-02-05,,,,0.0,0.0,0.17350746268656717,5033094
01,AL,2020-02-12,,,,0.0,0.0,0.17350746268656717,5033094
01,AL,2020-02-19,,,,0.0,0.0,0.17350746268656717,5033094
01,AL,2020-02-26,,,,0.0,0.0,0.17350746268656717,5033094
01,AL,2020-03-04,,,,0.0,0.0,0.17350746268656717,5033094
01,AL,2020-03-11,,,,0.059605483227613075,0.0,0.17350746268656717,5033094
01,AL,2020-03-18,,,,1.1523726757338528,0.0,0.17350746268656717,5033094
01,AL,2020-03-25,,,,8.16595120218299,0.01986849440920436,0.17350746268656717,5033094
01,AL,2020-04-01,,,,13.967551569670663,0.496712360230109,0.17350746268656717,5033094
01,AL,2020-04-08,,,,28.590763454845067,0.77487128195897,0.17350746268656717,5033094
01,AL,2020-04-15,,,,33.63736103478298,0.8940822484141961,0.17350746268656717,5033094
01,AL,2020-04-22,,,,27.517864756748036,1.6490850359639617,0.17350746268656717,5033094
01,AL,2020-04-29,,,,25.570752304646007,1.2318466533706702,0.17350746268656717,5033094
01,AL,2020-05-06,,,,35.5646049924758,1.7086905191915749,0.17350746268656717,5033094
01,AL,2020-05-13,,,,40.79001902209655,2.1259289017848664,0.17350746268656717,5033094
01,AL,2020-05-20,,,,46.9691207833591,1.4702685862811224,0.17350746268656717,5033094
01,AL,2020-05-27,,,,61.135357297121814,1.211978158961466,0.17350746268656717,5033094
01,AL,2020-06-03,,,,53.46611845516893,1.331189125416692,0.17350746268656717,5033094
01,AL,2020-06-10,,,,73.61277178610214,1.827901485646801,0.17350746268656717,5033094
01,AL,2020-06-17,,,,104.94538746941741,0.8940822484141961,0.17350746268656717,5033094
