week_end_date,vacc_pct_full_18p,cases_per_100k,deaths_per_100k
2020-01-22,,0.0018095305076589584,0.0
2020-01-29,,0.0015079420897157988,0.0
2020-02-05,,0.003619061015317917,0.0
2020-02-12,,0.003920649433261077,0.0
2020-02-19,,0.004825414687090556,0.0
2020-02-26,,0.008142887284465314,0.0
2020-03-04,,0.030460430212259134,0.0033174725973747574
2020-03-11,,0.32631866821449884,0.0063333567768063545
2020-03-18,,1.9374039968668582,0.03769855224289497
2020-03-25,,12.870888912560229,0.21563571882935922
2020-04-01,,34.67120770358153,0.9394479218929426
2020-04-08,,53.990961757020344,2.6859464502017807
2020-04-15,,51.69315960071141,3.5813624630750223
2020-04-22,,52.87116396119739,3.910998603886896
2020-04-29,,54.61947202001389,3.6386642624842223
2020-05-06,,52.62024239746869,3.499933590230369
2020-05-13,,45.79197902681761,2.9344553065869445
2020-05-20,,45.34110434199258,1.3963543750768295
2020-05-27,,42.12858451406204,1.961531070302311
2020-06-03,,42.077616071429645,1.861705303963125
2020-06-10,,43.47879586119357,1.4717514795626196
2020-06-17,,45.66440712602765,1.3354335146523113
2020-06-24,,62.46559630122314,1.1216073263306112
2020-07-01,,87.40605369986862,1.1128612622102594
2020-07-08,,106.93360217327027,1.2805444225866562
2020-07-15,,126.87462836767199,1.5926884351578265
2020-07-22,,137.34246076606112,1.8209908675407986
2020-07-29,,136.44463204584434,2.248341655766256
2020-08-05,,123.42083780538692,2.2320558811973252
2020-08-12,,119.4558548746882,2.2064208656721567
2020-08-19,,104.40237058147332,2.110214160348289
2020-08-26,,88.24024726389939,1.9799279637968437
2020-09-02,,84.93845726425768,1.8152606875998785
2020-09-09,,76.94787213085367,1.544434288286921
2020-09-16,,82.4069240840428,1.7419747020396907
2020-09-23,,87.00856016501953,1.6116885054882457
2020-09-30,,88.48634341294101,1.544434288286921
2020-10-07,,91.79386359252365,1.502815086610765
2020-10-14,,107.61217611364238,1.5637359470352834
2020-10-21,,127.48323379508129,1.750117589324156
2020-10-28,,155.77433851707528,1.8354671116020702
2020-11-04,,196.5548228029314,2.1479127125911837
2020-11-11,,267.6395145005521,2.5098188141229754
2020-11-18,,331.7342914355042,2.941391840199637
2020-11-25,,371.5276768294323,3.838315795162594
2020-12-02,,349.9849145473345,3.8612365149262744
2020-12-09,,436.30012293950267,5.03863769857637
2020-12-16,0.0,454.3483802228931,5.608941396906885
2020-12-23,0.0,446.4205254804213,5.8230691736465285
2020-12-30,0.0,387.86653095992096,5.156257181574202
2021-01-06,0.0,467.9258907986942,5.814926286362063
2021-01-13,0.0,500.4338047803694,6.978755991204717
2021-01-20,0.0,402.55931550527583,6.375277566900454
2021-01-27,0.0,327.8878327530571,6.693453347830488
2021-02-03,0.0,265.1770450680462,6.209403937031716
2021-02-10,0.0,213.61990184382714,5.648449479657439
2021-02-17,0.0,154.46815907896345,4.1411105667775265
2021-02-24,0.0,131.83002766289604,3.942363799352984
2021-03-03,0.0,126.04857769092567,3.9052684239459756
2021-03-10,21.5,109.78120001548957,2.7785340945103307
2021-03-17,24.399999999999995,105.35629474742754,2.1213729318121857
2021-03-24,26.700000000000006,112.4038128979233,1.9874676742454227
2021-03-31,29.3,125.73070349841359,1.7265936927245895
2021-04-07,32.60000000000001,129.45712999051926,1.989578793171025
2021-04-14,40.2,139.68912024607684,1.4041956739433519
2021-04-21,42.70000000000001,128.21609365068318,1.382179719433501
2021-04-28,44.6,106.5885850231433,1.3749415974028654
2021-05-05,46.9,97.2655822592664,1.3625764722671958
2021-05-12,48.29999999999999,76.34921912123649,1.2093695559520705
2021-05-19,49.29999999999999,62.0614678211793,1.113464439046146
2021-05-26,50.29999999999999,48.24208333418783,1.1348772167201102
2021-06-02,51.0,35.41884539166262,1.064607115339354
2021-06-09,51.79999999999999,29.920285355722935,0.7989077191314302
2021-06-16,52.59999999999999,26.255986077713544,0.6939549496872106
2021-06-23,53.09999999999999,24.993838548621422,0.6215737293808522
2021-06-30,54.20000000000001,29.071012370795,0.5745259361817193
2021-07-07,55.59999999999999,39.659480136361395,0.5027478927112473
2021-07-14,56.1,74.55084738504144,0.5754307014355488
2021-07-21,56.4,85.16434698929712,0.6077006621554669
2021-07-28,56.79999999999999,137.20765074324052,0.721097907302095
2021-08-04,57.1,200.06259769202828,0.9279875620111026
2021-08-11,57.4,250.84526185896928,1.468735595383188
2021-08-18,57.79999999999999,292.9470050038344,1.882514904801203
2021-08-25,58.29999999999999,310.8894047525268,2.3716913187050084
2021-09-01,58.79999999999999,350.3965827378269,3.0752970977664
2021-09-08,59.5,322.2224943219949,3.301789999641713
2021-09-15,60.1,313.81420922973956,4.182729768453682
2021-09-22,61.1,268.08556377069004,4.350412928830079
2021-09-29,62.29999999999999,237.34616427183346,4.225555323801611
2021-10-06,62.9,207.31821185090482,3.8319824383857877
2021-10-13,63.29999999999999,182.9908837059378,3.402218942816785
2021-10-20,64.0,157.277455192104,3.6145371890487694
2021-10-27,64.5,150.3382072836498,2.89585198909022
2021-11-03,64.90000000000002,149.07093275145266,2.5592793146656536
2021-11-10,65.29999999999998,160.7623093614372,2.4573424294008657
2021-11-17,66.0,183.21224960470806,2.24110353373562
2021-11-24,66.40000000000002,196.37990152052436,2.420247053993857
2021-12-01,66.59999999999998,181.77910144264217,2.161484191398626
2021-12-08,67.0,252.65479236662824,2.6322637118078984
2021-12-15,67.29999999999998,244.85993811646935,2.85483596424995
2021-12-22,67.5,322.11181137260974,3.475504928376973
2021-12-29,67.70000000000002,578.2508547317353,2.9329473644972284
2022-01-05,67.79999999999998,1179.1045550346387,2.747168899044242
2022-01-12,68.0,1549.8655941056595,3.7728711084689284
2022-01-19,69.40000000000002,1600.9842277701891,4.036157797333307
2022-01-26,69.59999999999998,1299.6714616410295,4.9469548195216495
2022-02-02,69.70000000000002,797.6947305144628,5.029288457620132
2022-02-09,71.0,436.2542814999753,4.748811228932993
2022-02-16,71.09999999999998,264.0982632970635,4.455365698274299
2022-02-23,72.09999999999998,161.05394536158823,3.789458471455802
2022-03-02,72.20000000000002,110.42750399514178,3.1289798361602825
2022-03-09,72.5,77.5106361187356,2.703438578442484
2022-03-16,72.59999999999998,61.732736445621256,2.340929300074806
2022-03-23,72.70000000000002,55.88674655221105,1.681958606869002
2022-03-30,72.79999999999998,54.70180565811237,1.3963543750768297
2022-04-06,72.90000000000002,56.03603281909291,1.1466391650198933
2022-04-13,73.0,60.492604871038985,0.9831782424947008
2022-04-20,73.09999999999998,81.08144298718261,0.7898600665931353
2022-04-27,73.29999999999998,100.33333964658422,0.7922727739366807
2022-05-04,73.40000000000002,123.73237864112221,0.7220026725559244
2022-05-11,73.5,160.911897216737,0.636351561860067
2022-05-18,73.5,194.25490952769687,0.6110181347528416
2022-05-25,73.59999999999998,214.214935792429,0.7271296756609582
2022-06-01,73.70000000000002,199.77427916447462,0.5250654356390412
2022-06-08,73.70000000000002,214.48365107281634,0.6327325008447492
2022-06-15,73.79999999999998,204.43713769429382,0.6239864367243976
2022-06-22,73.79999999999998,194.0694326506618,0.5844783539738436
2022-06-29,73.5,218.50111038823718,0.7817171793086701
2022-07-06,73.5,220.66591205223318,0.6818914129694842
2022-07-13,73.59999999999998,245.49327379414999,0.7977013654596575
2022-07-20,73.70000000000002,254.89800701928948,0.8489713965099946
2022-07-27,73.70000000000002,263.72459524723195,0.8755111772889927
2022-08-03,73.79999999999998,236.8636228031244,0.9732258247025766
2022-08-10,73.90000000000002,214.53130204285137,0.9714162941949176
2022-08-17,73.90000000000002,198.52811582153348,0.9310034461905341
2022-08-24,74.0,185.05133577732545,0.8902890097682076
2022-08-31,74.0,175.49158610536318,1.0935596034618973
2022-09-07,74.0,149.19579035648113,0.8197173199695083
2022-09-14,74.09999999999998,134.07294072713933,0.9165272021292625
2022-09-21,74.09999999999998,113.38337207940268,0.9261780315034436
2022-09-28,74.20000000000002,96.21726091849597,0.826955442000144
2022-10-05,75.0,86.12279498152047,0.8543999880329716
2022-10-12,75.09999999999998,73.90936882007632,0.7189867883764929
2022-10-19,75.09999999999998,73.01063533460571,0.7144629621073455
2022-10-26,75.20000000000002,72.73498352060567,0.7379868587069119
2022-11-02,75.29999999999998,75.91432862256245,0.7403995660504572
2022-11-09,75.40000000000002,80.29670992369451,0.6565579858622588
2022-11-16,75.40000000000002,77.61166823874656,0.6438912723086461
2022-11-23,75.40000000000002,85.81849226781583,0.7473360996631498
2022-11-30,75.5,87.08425885792326,0.5069701305624515
2022-12-07,75.5,130.33203799097237,0.7983045422955438
2022-12-14,75.6,126.50216667151219,0.7593996363808763
2022-12-21,75.6,138.128400183221,0.8577174606303464
2022-12-28,75.6,110.64042541820965,0.7168756694508908
2023-01-04,75.6,135.51000953863849,0.8010188380570323
2023-01-11,75.7,121.85951456569519,1.1671471774400282
2023-01-18,75.7,92.00226118932237,1.1074326706872826
2023-01-25,75.7,84.40736006025978,1.0673214111008424
2023-02-01,75.7,80.85133102429198,0.9895115992715071
2023-02-08,75.7,79.84945429988481,0.8730984699454475
2023-02-15,75.7,74.89888041934783,0.7783997067112953
2023-02-22,75.8,67.9982358283904,0.6969708338666422
2023-03-01,75.8,66.838326772981,0.6490182754136797
2023-03-08,75.8,53.94813620167242,0.6218753177987955
2023-03-15,75.8,49.56816760788391,0.5386369144464833
2023-03-22,75.8,45.956344714596625,0.6303197935012039
2023-03-29,75.8,41.5573760504777,0.46806522464778394
2023-04-05,75.8,38.77914354438531,0.517224136772519
2023-04-12,75.8,31.964753240959617,0.3812077602801539
2023-04-19,75.9,30.927892260071033,0.3664299278009391
2023-04-26,75.9,27.64148326974442,0.32541390296066935
2023-05-03,75.9,24.244994506868554,0.32330278403506724
2023-05-10,75.9,21.181157768983997,0.25574697841579946
